"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 91","238.75","251.00","255.00","237.75","453.68K","-4.88%"
"Oct 91","251.00","251.50","255.75","242.00","541.56K","0.70%"
"Sep 91","249.25","249.00","256.25","243.50","232.25K","0.10%"
"Aug 91","249.00","260.38","266.00","232.00","269.81K","-3.49%"
"Jul 91","258.00","228.25","259.75","223.00","167.95K","14.67%"
"Jun 91","225.00","247.50","250.25","223.00","435.72K","-8.44%"
"May 91","245.75","247.00","252.50","236.50","212.64K","-0.30%"
"Apr 91","246.50","255.25","261.25","246.25","410.23K","-2.47%"
"Mar 91","252.75","241.75","254.50","240.00","205.04K","4.77%"
"Feb 91","241.25","245.38","245.75","237.50","355.85K","-1.23%"
"Jan 91","244.25","231.75","247.00","230.25","516.54K","5.39%"
"Dec 90","231.75","227.75","235.00","222.25","155.75K","1.76%"
"Nov 90","227.75","229.50","235.00","215.50","590.57K","-0.65%"
"Oct 90","229.25","226.38","236.50","222.75","562.27K","0.55%"
"Sep 90","228.00","243.00","244.50","221.50","197.07K","-6.27%"
"Aug 90","243.25","260.25","260.50","241.50","212.64K","-6.53%"
"Jul 90","260.25","297.25","302.25","255.00","135.20K","-11.93%"
"Jun 90","295.50","278.50","298.00","271.00","412.40K","6.29%"
"May 90","278.00","281.88","293.00","273.50","284.41K","-1.16%"
"Apr 90","281.25","262.75","283.00","262.25","477.37K","7.66%"
"Mar 90","261.25","247.50","261.75","241.75","224.93K","5.77%"
"Feb 90","247.00","238.25","247.25","236.25","349.04K","3.67%"
"Jan 90","238.25","238.75","244.25","236.00","400.91K","-0.63%"
